,time,flow_A,flow_B,mean_traveltime_A,mean_traveltime_B
0,0.0,5078.0,4922.0,38.34824658463171,45.0593734027289
1,1.0,4979.0,5021.0,37.89717778452404,45.09979575496689
2,2.0,7304.0,2696.0,54.93239556780912,44.97397642297442
3,3.0,2730.0,7270.0,31.273201606600566,45.51046356097323
4,4.0,2755.0,7245.0,31.302654681720476,45.48971529158123
5,5.0,2819.0,7181.0,31.449785553151607,45.45717043932362
6,6.0,2873.0,7127.0,31.532865697306896,45.49402942945699
7,7.0,2903.0,7097.0,31.531261656434957,45.46807577853181
8,8.0,2847.0,7153.0,31.490884377103374,45.44941332084586
9,9.0,2931.0,7069.0,31.659957931033503,45.42625407337723
10,10.0,2943.0,7057.0,31.600903110955265,45.44420251801152
11,11.0,2934.0,7066.0,31.620743401222942,45.42240104400047
12,12.0,2964.0,7036.0,31.664580931873555,45.48506735195681
13,13.0,2986.0,7014.0,31.675775322733607,45.42554601298236
14,14.0,2968.0,7032.0,31.643866071693175,45.47184630599781
15,15.0,2965.0,7035.0,31.652785853420177,45.375664946744045
16,16.0,2999.0,7001.0,31.73303173092748,45.44515071416122
17,17.0,3011.0,6989.0,31.75355744122179,45.36889526880612
18,18.0,2999.0,7001.0,31.761038508040148,45.406220351813545
19,19.0,3012.0,6988.0,31.730210576557596,45.36998653771782
20,20.0,3053.0,6947.0,31.838167412320995,45.397202305162324
21,21.0,3028.0,6972.0,31.75744178464443,45.40032464814435
22,22.0,3078.0,6922.0,31.858752360639226,45.36729488620697
23,23.0,3071.0,6929.0,31.852692500806125,45.375760802905575
24,24.0,3082.0,6918.0,31.922513162040534,45.41319246482513
25,25.0,3079.0,6921.0,31.82208699635049,45.4048485092325
26,26.0,3122.0,6878.0,31.90119574725141,45.38830212879761
27,27.0,3117.0,6883.0,32.014040014807094,45.40132362405855
28,28.0,3092.0,6908.0,31.92510835666919,45.34196763520578
29,29.0,3117.0,6883.0,31.91869032491082,45.428895011975825
30,30.0,3122.0,6878.0,31.966079689830714,45.392603449878855
31,31.0,3155.0,6845.0,31.975848393522853,45.37620498039527
32,32.0,3153.0,6847.0,32.01464870645779,45.36890172834074
33,33.0,3153.0,6847.0,31.990528185727335,45.38171441765051
34,34.0,3150.0,6850.0,31.966847757316607,45.40021075857104
35,35.0,3156.0,6844.0,32.016447388895,45.35585919783911
36,36.0,3153.0,6847.0,32.00929707147572,45.3400394511529
37,37.0,3154.0,6846.0,31.99860773879043,45.38003138146037
38,38.0,3191.0,6809.0,32.09438908238993,45.3517129828501
39,39.0,3160.0,6840.0,32.00331617545083,45.36989221441202
40,40.0,3182.0,6818.0,32.09412189751449,45.38043950589843
41,41.0,3163.0,6837.0,32.03278234316871,45.36873959631282
42,42.0,3201.0,6799.0,32.09394054030644,45.29576759600819
43,43.0,3174.0,6826.0,32.086038345310605,45.31577330787228
44,44.0,3161.0,6839.0,31.99313146717469,45.37119535116215
45,45.0,3192.0,6808.0,32.11811252770081,45.37321551219986
46,46.0,3206.0,6794.0,32.137641822741884,45.344854716297334
47,47.0,3167.0,6833.0,32.02549248314673,45.32876881934989
48,48.0,3241.0,6759.0,32.1327646800006,45.29633080386434
49,49.0,3214.0,6786.0,32.05767930801583,45.31677746687316
50,50.0,3227.0,6773.0,32.11493090983868,45.31185820793429
51,51.0,3218.0,6782.0,32.13133844258443,45.345982275900035
52,52.0,3234.0,6766.0,32.16104207286497,45.37893439412835
53,53.0,3225.0,6775.0,32.17668607462737,45.36137562126833
54,54.0,3244.0,6756.0,32.18177627906094,45.29784118830987
55,55.0,3250.0,6750.0,32.263870230555995,45.32484184995292
56,56.0,3234.0,6766.0,32.15034745802979,45.32621820685387
57,57.0,3267.0,6733.0,32.22222569967217,45.36274424447437
58,58.0,3260.0,6740.0,32.218221083193846,45.343078017751765
59,59.0,3257.0,6743.0,32.188893766563226,45.331411020206374
60,60.0,3272.0,6728.0,32.28883341677053,45.35242286466202
61,61.0,3248.0,6752.0,32.24155778992101,45.33124773136482
62,62.0,3259.0,6741.0,32.199349334773885,45.36461128414622
63,63.0,3256.0,6744.0,32.230521643832795,45.36862318026336
64,64.0,3263.0,6737.0,32.24366352942157,45.3887431211448
65,65.0,3308.0,6692.0,32.2604371760258,45.30964427253576
66,66.0,3294.0,6706.0,32.27772406895553,45.349753545791295
67,67.0,3303.0,6697.0,32.317202503937246,45.330707282325854
68,68.0,3304.0,6696.0,32.33664226772795,45.3706524905818
69,69.0,3300.0,6700.0,32.32860014933495,45.34801079542135
70,70.0,3329.0,6671.0,32.3751745311481,45.326000627432016
71,71.0,3296.0,6704.0,32.350467685680826,45.366923777231015
72,72.0,3310.0,6690.0,32.3231269305928,45.32041197492208
73,73.0,3318.0,6682.0,32.33563591347923,45.3597095607707
74,74.0,3339.0,6661.0,32.40616489400234,45.33829689401974
75,75.0,3345.0,6655.0,32.402964092528265,45.33930413966194
76,76.0,3371.0,6629.0,32.47290317326264,45.314400280369114
77,77.0,3342.0,6658.0,32.42350897100101,45.29422837346802
78,78.0,3319.0,6681.0,32.299487028337154,45.310126811697025
79,79.0,3341.0,6659.0,32.33515986231579,45.286014828270645
80,80.0,3327.0,6673.0,32.378827976843255,45.34034493832444
81,81.0,3346.0,6654.0,32.439067522876286,45.318396173158725
82,82.0,3345.0,6655.0,32.40250668051294,45.324592233275986
83,83.0,3366.0,6634.0,32.45636829679929,45.31803862483861
84,84.0,3361.0,6639.0,32.44858530371842,45.32640091375091
85,85.0,3366.0,6634.0,32.39828871616673,45.35523469721772
86,86.0,3368.0,6632.0,32.450512773343966,45.333786031674286
87,87.0,3380.0,6620.0,32.48731926926885,45.31627817815258
88,88.0,3385.0,6615.0,32.489081580959166,45.31486071757528
89,89.0,3372.0,6628.0,32.45401654173581,45.33220287179757
90,90.0,3381.0,6619.0,32.49960085444445,45.30440668727504
91,91.0,3362.0,6638.0,32.433477086423856,45.28252340703054
92,92.0,3373.0,6627.0,32.45372311242128,45.35163255515515
93,93.0,3375.0,6625.0,32.46562782653062,45.315777252451554
94,94.0,3394.0,6606.0,32.48903134841343,45.33901618340571
95,95.0,3400.0,6600.0,32.53248801179399,45.29976320074032
96,96.0,3388.0,6612.0,32.45366338824005,45.28946912507468
97,97.0,3404.0,6596.0,32.564206455037116,45.28554355674956
98,98.0,3404.0,6596.0,32.506164533856705,45.283884986402946
