,time,flow_A,flow_B,mean_traveltime_A,mean_traveltime_B
0,0.0,5078.0,4922.0,38.34824658463171,45.0593734027289
1,1.0,4979.0,5021.0,37.89717778452404,45.09979575496689
2,2.0,7174.0,2826.0,53.61965512222192,44.98641264057828
3,3.0,3508.0,6492.0,32.738579747783525,45.29317219527345
4,4.0,7866.0,2134.0,61.158799221285776,44.88456823680334
5,5.0,1146.0,8854.0,30.187957970008902,46.32836383175252
6,6.0,6950.0,3050.0,51.50960296252781,45.06225204455722
7,7.0,1180.0,8820.0,30.064517182450935,46.336329627398065
8,8.0,8287.0,1713.0,66.40313095770487,45.02938085245195
9,9.0,518.0,9482.0,30.01031696632763,46.91936351741748
10,10.0,5468.0,4532.0,40.48030751444326,45.009860722117885
11,11.0,5474.0,4526.0,40.47158107426791,45.06176317301106
12,12.0,5720.0,4280.0,42.02320678829348,45.059598681540635
13,13.0,5872.0,4128.0,42.95624478579441,45.00881463310998
14,14.0,6080.0,3920.0,44.41792093012513,45.01677338540012
15,15.0,6003.0,3997.0,43.80570183744114,44.976680163123994
16,16.0,6019.0,3981.0,43.975543862116155,45.04788657206668
17,17.0,6024.0,3976.0,43.98888192877071,44.95403943526971
18,18.0,6027.0,3973.0,44.0004027246361,45.05757295200579
19,19.0,6055.0,3945.0,44.19492883462844,44.945106565731145
20,20.0,6067.0,3933.0,44.28341646594028,45.046475577640734
21,21.0,6067.0,3933.0,44.242386942190144,45.06366255080341
22,22.0,6059.0,3941.0,44.242560182408205,44.95577344344073
23,23.0,6099.0,3901.0,44.5081747097489,45.00141411771707
24,24.0,5999.0,4001.0,43.83187979127936,45.08837307669509
25,25.0,6144.0,3856.0,44.837159569493394,44.996540258871896
26,26.0,5972.0,4028.0,43.601273259433086,45.03079448663921
27,27.0,6182.0,3818.0,45.17194395835264,45.05468725195002
28,28.0,5876.0,4124.0,42.9799313591594,44.989446805833964
29,29.0,6307.0,3693.0,46.07216623976501,45.049864695029235
30,30.0,5233.0,4767.0,39.19046788850486,45.06797501542143
31,31.0,7048.0,2952.0,52.415526626343336,44.941527108626595
32,32.0,622.0,9378.0,30.08007191380462,46.79824597418847
33,33.0,8607.0,1393.0,70.82693043577942,44.90793929820155
34,34.0,510.0,9490.0,29.976113758054307,46.92030999241959
35,35.0,2044.0,7956.0,30.515224486974674,45.792438453761406
36,36.0,8151.0,1849.0,64.62798798446474,44.97611177305732
37,37.0,526.0,9474.0,30.135451600184407,46.88804523895388
38,38.0,2825.0,7175.0,31.450721850215025,45.46622992769007
39,39.0,9182.0,818.0,79.5061097461526,45.13132506674667
40,40.0,493.0,9507.0,29.933930154681086,46.96452434816793
41,41.0,815.0,9185.0,30.026914692344253,46.62923191504229
42,42.0,4134.0,5866.0,34.44594533318443,45.16271974571352
43,43.0,4366.0,5634.0,35.27903553823907,45.1556697456063
44,44.0,4647.0,5353.0,36.42108512275812,45.08589492543903
45,45.0,5995.0,4005.0,43.78281124685735,45.09256879352116
46,46.0,6013.0,3987.0,43.89550488620999,45.060133621980015
47,47.0,5809.0,4191.0,42.51863904560849,44.99573398146948
48,48.0,5776.0,4224.0,42.24986069345344,45.0177905517636
49,49.0,5832.0,4168.0,42.62023928483789,45.00231953947287
50,50.0,5875.0,4125.0,42.947430094411615,44.96620043707027
51,51.0,5854.0,4146.0,42.82121322230343,45.03773120721642
52,52.0,5873.0,4127.0,43.0069553529038,45.00512239406137
53,53.0,5892.0,4108.0,43.09339330517866,45.06843991594078
54,54.0,5872.0,4128.0,42.93560269171842,44.974708094082324
55,55.0,5917.0,4083.0,43.29780898475759,45.00380398012272
56,56.0,5960.0,4040.0,43.53909057447767,44.98209770523213
57,57.0,5941.0,4059.0,43.44476068139095,45.00988081676216
58,58.0,5973.0,4027.0,43.636639946942594,45.024728230089224
59,59.0,5995.0,4005.0,43.77332832498329,44.99924527413323
60,60.0,6040.0,3960.0,44.16407022989601,44.998062076963926
61,61.0,5971.0,4029.0,43.64948107334869,45.01318220404409
62,62.0,6033.0,3967.0,44.07400500206969,45.004822787864555
63,63.0,6027.0,3973.0,44.03811675204453,45.04392982673719
64,64.0,5952.0,4048.0,43.495460435225084,45.12063327116753
65,65.0,6026.0,3974.0,43.95832258642954,44.99034756260734
66,66.0,6052.0,3948.0,44.20136375642919,45.01014916398322
67,67.0,6008.0,3992.0,43.91398583560431,44.976912499447394
68,68.0,6049.0,3951.0,44.20459388909025,45.05594914774105
69,69.0,6032.0,3968.0,44.07583006055422,45.032102502133405
70,70.0,6060.0,3940.0,44.22235051343185,45.0676433128101
71,71.0,6055.0,3945.0,44.26954088235556,45.04616644121869
72,72.0,6044.0,3956.0,44.128110154694944,45.00826490170016
73,73.0,6076.0,3924.0,44.38806518442303,45.01795269160794
74,74.0,6011.0,3989.0,43.89822562432307,45.075622041384776
75,75.0,6135.0,3865.0,44.78205733720163,45.049351290973696
76,76.0,5957.0,4043.0,43.519116293652495,45.05968417407981
77,77.0,6172.0,3828.0,45.07930331043779,44.95670606292902
78,78.0,5863.0,4137.0,42.86839063368714,44.995958966835715
79,79.0,6310.0,3690.0,46.02939190697388,44.964204274138076
80,80.0,5134.0,4866.0,38.65336440472776,45.112811540288355
81,81.0,6999.0,3001.0,51.93835708036567,45.065395432888934
82,82.0,757.0,9243.0,30.05372158053075,46.67894976868593
83,83.0,8694.0,1306.0,72.09201513943081,44.902089302834014
84,84.0,504.0,9496.0,30.082203327619503,46.928754509744934
85,85.0,1762.0,8238.0,30.332874981346826,45.9540900640038
86,86.0,7875.0,2125.0,61.28820906158254,44.97000518944345
87,87.0,519.0,9481.0,30.01288971498353,46.91406928270273
88,88.0,4281.0,5719.0,35.02851651155747,45.15046805295889
89,89.0,8510.0,1490.0,69.47240101185295,44.95302045567734
90,90.0,510.0,9490.0,29.977719577160652,46.922844839852054
91,91.0,1936.0,8064.0,30.423781231052118,45.83224281985412
92,92.0,7816.0,2184.0,60.58378513686834,45.03060652627479
93,93.0,520.0,9480.0,30.116392032434423,46.89743227065232
94,94.0,3964.0,6036.0,33.97350366682263,45.2287211005257
95,95.0,7996.0,2004.0,62.727715409965334,44.976698183691546
96,96.0,556.0,9444.0,30.055616564678314,46.82888426764539
97,97.0,4455.0,5545.0,35.65867336006571,45.13472988292114
98,98.0,6102.0,3898.0,44.50772684069862,45.008140033665114
