,time,flow_A,flow_B,mean_traveltime_A,mean_traveltime_B
0,0.0,5078.0,4922.0,38.34824658463171,45.0593734027289
1,1.0,4979.0,5021.0,37.89717778452404,45.09979575496689
2,2.0,7395.0,2605.0,55.880525227172264,44.962345970630324
3,3.0,5567.0,4433.0,41.02278948674462,45.051586984795264
4,4.0,8014.0,1986.0,62.9440695466283,44.89381806780463
5,5.0,1551.0,8449.0,30.264432792056446,46.05655463351787
6,6.0,1666.0,8334.0,30.24020634941586,46.05651328990664
7,7.0,8381.0,1619.0,67.66183211394001,45.0488320426794
8,8.0,1394.0,8606.0,30.10218553157382,46.18514128272253
9,9.0,8423.0,1577.0,68.25638864384716,45.03251966349412
10,10.0,8424.0,1576.0,68.25518141397475,44.97173282230724
11,11.0,7.0,9993.0,29.61488931869248,47.47019698566265
12,12.0,10.0,9990.0,30.225377104233036,47.51588766196119
13,13.0,8444.0,1556.0,68.52062505302135,44.97907630126879
14,14.0,2.0,9998.0,28.219793342076052,47.505639790475634
15,15.0,8444.0,1556.0,68.452605591061,45.00447197931071
16,16.0,8444.0,1556.0,68.56919298499017,45.00591115820694
17,17.0,2.0,9998.0,28.83043083061231,47.45546972961702
18,18.0,2.0,9998.0,30.770060388950053,47.492199423740026
19,19.0,8444.0,1556.0,68.48200839841523,44.92958089243104
20,20.0,2.0,9998.0,30.806024990826515,47.489368558159555
21,21.0,8444.0,1556.0,68.51523965128595,44.96489807576736
22,22.0,8444.0,1556.0,68.51110914299903,44.930460714035206
23,23.0,0.0,10000.0,,47.47219281432218
24,24.0,4160.0,5840.0,34.65184226483515,45.16571458883415
25,25.0,4176.0,5824.0,34.62393614015067,45.19363894370147
26,26.0,4250.0,5750.0,34.90792096445492,45.15285891686618
27,27.0,4238.0,5762.0,34.879166043417314,45.133945668307156
28,28.0,4212.0,5788.0,34.79497959206644,45.169604231257544
29,29.0,8444.0,1556.0,68.53880432897009,45.0178299323081
30,30.0,8444.0,1556.0,68.53960525368483,45.023724060032166
31,31.0,0.0,10000.0,,47.51103225517087
32,32.0,4143.0,5857.0,34.5695289633345,45.14766644089486
33,33.0,4191.0,5809.0,34.73257640405138,45.15359929788765
34,34.0,4239.0,5761.0,34.86217658195496,45.14126688833466
35,35.0,4251.0,5749.0,34.9065153909297,45.1500718258002
36,36.0,4297.0,5703.0,35.090259567393645,45.1783646018849
37,37.0,8444.0,1556.0,68.54189086944716,45.10662411981465
38,38.0,8444.0,1556.0,68.56474704561388,44.997846987251435
39,39.0,0.0,10000.0,,47.47254916108391
40,40.0,4172.0,5828.0,34.62015845415969,45.22562563827549
41,41.0,4151.0,5849.0,34.62964598982649,45.1699080799962
42,42.0,4187.0,5813.0,34.663210869959855,45.17766475253783
43,43.0,4189.0,5811.0,34.69365013908234,45.18469521026061
44,44.0,4250.0,5750.0,34.90563356773338,45.169470840668694
45,45.0,8444.0,1556.0,68.49546107865194,45.02311421032348
46,46.0,8444.0,1556.0,68.48419947850684,44.919397727343174
47,47.0,0.0,10000.0,,47.43395889720276
48,48.0,4266.0,5734.0,34.938137315150755,45.10364053326442
49,49.0,4290.0,5710.0,35.040446022320246,45.13976162158476
50,50.0,4247.0,5753.0,34.9489963188675,45.16056116202595
51,51.0,4166.0,5834.0,34.661768620603624,45.173256465654866
52,52.0,4226.0,5774.0,34.82686528705627,45.17168338345048
53,53.0,8444.0,1556.0,68.53385750487107,45.09209034254865
54,54.0,8444.0,1556.0,68.54704545624618,45.01206687192778
55,55.0,0.0,10000.0,,47.55171370767402
56,56.0,4227.0,5773.0,34.864818540618046,45.13194994550428
57,57.0,4253.0,5747.0,34.93399085760604,45.13419580203144
58,58.0,4281.0,5719.0,35.00711461001296,45.172308889581046
59,59.0,4264.0,5736.0,34.928121907228494,45.13070925059006
60,60.0,4222.0,5778.0,34.83084472081356,45.16467840059301
61,61.0,8444.0,1556.0,68.53932542421752,44.97744007977211
62,62.0,8444.0,1556.0,68.53329732380779,44.9282072865832
63,63.0,0.0,10000.0,,47.47718371652712
64,64.0,4243.0,5757.0,34.853379878423944,45.21575566203934
65,65.0,4235.0,5765.0,34.89114903641244,45.16564990040674
66,66.0,4178.0,5822.0,34.62359304204246,45.18571788080328
67,67.0,4258.0,5742.0,34.93692017857678,45.18036311018523
68,68.0,4214.0,5786.0,34.79841541192384,45.18386372686049
69,69.0,8444.0,1556.0,68.5551526833074,45.028159859944836
70,70.0,8444.0,1556.0,68.54764550034459,45.00857794260268
71,71.0,0.0,10000.0,,47.49850954028813
72,72.0,4227.0,5773.0,34.843740843240475,45.160460303880875
73,73.0,4225.0,5775.0,34.80453216883898,45.13211873075739
74,74.0,4239.0,5761.0,34.9113808824044,45.15886836590156
75,75.0,4238.0,5762.0,34.84472526619241,45.09863485338257
76,76.0,4152.0,5848.0,34.57090269694206,45.172954259783936
77,77.0,8444.0,1556.0,68.5624266823739,44.9340156627556
78,78.0,8444.0,1556.0,68.51244090661777,44.9598799105775
79,79.0,0.0,10000.0,,47.5312956373347
80,80.0,4181.0,5819.0,34.67728951761601,45.18674754357529
81,81.0,4201.0,5799.0,34.70068719682403,45.141896105015626
82,82.0,4283.0,5717.0,35.07383754293506,45.1151249538778
83,83.0,4255.0,5745.0,34.97345462807403,45.152515910650365
84,84.0,4281.0,5719.0,35.02607807910017,45.17333175639489
85,85.0,8444.0,1556.0,68.53695360320779,44.9849432829295
86,86.0,8444.0,1556.0,68.53102760333944,45.072184819162565
87,87.0,0.0,10000.0,,47.50902021061268
88,88.0,4247.0,5753.0,34.91937514278,45.14641233649341
89,89.0,4217.0,5783.0,34.84541728723205,45.103004738145195
90,90.0,4265.0,5735.0,34.95730947950798,45.13046424691775
91,91.0,4244.0,5756.0,34.88942242246176,45.137108032651696
92,92.0,4268.0,5732.0,34.994825621511765,45.16026002863874
93,93.0,8444.0,1556.0,68.54862256284727,45.10440357974932
94,94.0,8444.0,1556.0,68.54307177743704,45.03788777890795
95,95.0,0.0,10000.0,,47.526740016872346
96,96.0,4187.0,5813.0,34.747578731778944,45.155923129031336
97,97.0,4231.0,5769.0,34.87213591227616,45.118230910737424
98,98.0,4310.0,5690.0,35.084650756349205,45.161453056529226
99,99.0,4236.0,5764.0,34.80285174615701,45.11847361450049
100,100.0,4199.0,5801.0,34.77910953078595,45.170750664081396
101,101.0,8444.0,1556.0,68.5385349156399,45.0156077955579
